Product , Price 
TIGER Beer Can 24sX320ml,$38.00
THE SINGLETON Dufftown Single Malt 12 Years,$59.00
SPIEGELAU Decanter Set of 5,$55.00
RIVERCREST Australia Red Wine,$15.00
SERENGETI Chardonnay 750ml,$15.00
ANCHOR Strong Beer 500ml,$3.65
RUN RAFA RUN White Airen,$15.00
CLARO Merlot,$18.00
RUN RAFA RUN Red Tempranillo 750ml,$15.00
BROWN BROTHERS Moscato Rosa,$26.00
SERENGETI Shiraz 750ml,$20.00
CLARO Cabernet Sauvignon,$18.00
SERENGETI Merlot 750ml,$20.00
TIGER Beer 10sX320ml,$20.00
WINEMAKERS RESERVE Cabernet Sauvignon 750ml,$15.00
BAILEY'S Original Irish Cream 700ml,$32.00
WOLF BLASS Eaglehawk Cabernet Sauvignon,$23.00
WINEMAKERS RESERVE Merlot 750ml,$15.00
RED PEAK Moscato 750ml,$15.00
RAWSON'S RETREAT Cabernet Sauvignon,$22.00
SERENGETI Cabernet Sauvignon 750ml,$20.00
CLARO Malbec,$18.00
GUINNESS Foreign Extra Stout Beer 12sX320ml,$36.50
VAN LOVEREN Pinotage,$23.00
CARLSBERG Bottle 640ml,$6.00
RED PEAK Cabernet Sauvignon 750ml,$20.00
CARLSBERG Smooth Draught Can 12sX320ml,$24.00
CHATEAU DE BESSANES Wine Bordeaux Red 750ml,$25.00
FOUR COUSINS Natural Sweet Red,$17.00
